dataset_name,kpi,is_kpi,dtype,domain,description
supplychain_logistics_shipment_tracking_50,timestamp,0,date,supplychain_logistics,Supporting attribute representing timestamp.
sales_marketing_sustainability_index,lead_to_deal_ratio,1,float,sales_marketing,KPI measuring lead to deal ratio in sales marketing domain.
devops_benchmarking,region,0,int,devops,Supporting attribute representing region.
agriculture_agritech_trial_registry,date,0,int,agriculture_agritech,Supporting attribute representing date.
sales_analytics,sales_cycle_length,1,int,sales,KPI measuring sales cycle length in sales domain.
finance_fintech_fraud_monitoring,timestamp,0,int,finance_fintech,Supporting attribute representing timestamp.
transport_automotive_student_performance,country,0,string,transport_automotive,Supporting attribute representing country.
manufacturing_adv_course_outcomes_50,overall_equipment_effectiveness,1,int,manufacturing_adv,KPI measuring overall equipment effectiveness in manufacturing adv domain.
agriculture_agritech_fraud_monitoring_49,location,0,string,agriculture_agritech,Supporting attribute representing location.
logistics_historical_34,on_time_delivery_rate,1,int,logistics,KPI measuring on time delivery rate in logistics domain.
product_monitoring,dau_mau_ratio,1,int,product,KPI measuring dau mau ratio in product domain.
banking_insurance_course_outcomes,timestamp,0,string,banking_insurance,Supporting attribute representing timestamp.
transport_automotive_trial_registry,segment,0,date,transport_automotive,Supporting attribute representing segment.
manufacturing_adv_claims,channel,0,date,manufacturing_adv,Supporting attribute representing channel.
sales_marketing_trial_registry_42,funnel_dropoff_rate,1,int,sales_marketing,KPI measuring funnel dropoff rate in sales marketing domain.
manufacturing_adv_policy_admin,yield_rate,1,float,manufacturing_adv,KPI measuring yield rate in manufacturing adv domain.
agriculture_agritech_trial_registry,id,0,int,agriculture_agritech,Supporting attribute representing id.
manufacturing_metrics_18,inventory_turnover,1,float,manufacturing,KPI measuring inventory turnover in manufacturing domain.
logistics_benchmarking_32,region,0,int,logistics,Supporting attribute representing region.
realestate_construction_cost_reporting,budget_deviation_percent,1,int,realestate_construction,KPI measuring budget deviation percent in realestate construction domain.
public_government_reliability_metrics,budget_utilization_efficiency,1,int,public_government,KPI measuring budget utilization efficiency in public government domain.
public_government_risk_analytics,citizen_satisfaction_index,1,float,public_government,KPI measuring citizen satisfaction index in public government domain.
manufacturing_adv_transactions_45,id,0,string,manufacturing_adv,Supporting attribute representing id.
marketing_metrics,timestamp,0,date,marketing,Supporting attribute representing timestamp.
product_historical_41,daily_active_users,1,float,product,KPI measuring daily active users in product domain.
saas_it_customer_segments,date,0,date,saas_it,Supporting attribute representing date.
product_reporting,user_churn_probability,1,float,product,KPI measuring user churn probability in product domain.
banking_insurance_orders,premium_growth_rate,1,float,banking_insurance,KPI measuring premium growth rate in banking insurance domain.
public_government_shipment_tracking,category,0,date,public_government,Supporting attribute representing category.
logistics_analytics,region,0,string,logistics,Supporting attribute representing region.
